# N M B speedup l1_naiv l1_opt l2_naiv l2_opt l3_naiv l3_opt
1.000000000000000000e+04 1.000000000000000000e+04 1.614000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.074000000000000000e+09 5.516000000000000000e+08 6.242000000000000000e+07 7.024000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 4.460000000000000000e+02 1.610000000000000098e+00 2.130000000000000000e+08 2.126000000000000000e+08 2.522000000000000000e+08 1.887000000000000000e+07 1.329000000000000000e+08 1.326000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 1.020000000000000000e+02 9.799999999999999822e-01 2.584000000000000000e+07 1.894000000000000000e+07 1.374000000000000000e+07 1.460000000000000000e+07 1.351000000000000000e+07 1.350000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.544000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.063000000000000000e+09 1.071000000000000000e+09 9.271000000000000000e+08 6.259000000000000000e+07 6.715000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 5.600000000000000000e+01 2.109999999999999876e+00 2.126000000000000000e+08 2.357000000000000000e+07 2.724000000000000000e+08 1.735000000000000000e+07 1.536000000000000000e+08 1.576000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.716000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.074000000000000000e+09 8.968000000000000000e+08 6.252000000000000000e+07 6.697000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 4.000000000000000000e+01 1.040000000000000036e+00 1.063000000000000000e+09 1.296000000000000000e+08 1.071000000000000000e+09 8.808000000000000000e+07 6.253000000000000000e+07 6.444000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.253000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.072000000000000000e+09 1.310000000000000000e+08 6.258000000000000000e+07 7.033000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 4.360000000000000000e+02 1.010000000000000009e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.073000000000000000e+09 9.144000000000000000e+07 6.252000000000000000e+07 6.600000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.005000000000000000e+03 1.010000000000000009e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.070000000000000000e+09 7.656000000000000000e+07 6.258000000000000000e+07 6.665000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.245000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.071000000000000000e+09 8.703000000000000000e+08 6.260000000000000000e+07 6.834000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 2.870000000000000000e+02 1.379999999999999893e+00 2.126000000000000000e+08 2.119000000000000000e+08 2.337000000000000000e+08 2.110000000000000000e+07 6.420000000000000000e+07 1.406000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.218000000000000000e+03 1.010000000000000009e+00 1.063000000000000000e+09 1.052000000000000000e+09 1.075000000000000000e+09 8.656000000000000000e+07 6.250000000000000000e+07 6.915000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.500000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.071000000000000000e+09 9.025000000000000000e+08 6.256000000000000000e+07 6.701000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.261000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.071000000000000000e+09 8.203000000000000000e+08 6.259000000000000000e+07 6.838000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.650000000000000000e+02 1.100000000000000089e+00 1.065000000000000000e+09 7.571000000000000000e+08 1.068000000000000000e+09 1.114000000000000000e+08 6.272000000000000000e+07 6.657000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.613000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.076000000000000000e+09 1.027000000000000000e+09 6.254000000000000000e+07 6.702000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.445000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.075000000000000000e+09 2.286000000000000000e+08 6.254000000000000000e+07 7.081000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.813000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.071000000000000000e+09 1.760000000000000000e+08 6.256000000000000000e+07 6.908000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.592000000000000000e+03 9.499999999999999556e-01 1.065000000000000000e+09 1.066000000000000000e+09 1.078000000000000000e+09 1.032000000000000000e+09 6.252000000000000000e+07 6.730000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 1.700000000000000000e+01 9.200000000000000400e-01 2.525000000000000000e+07 2.602000000000000000e+07 1.384000000000000000e+07 1.363000000000000000e+07 1.351000000000000000e+07 1.345000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 1.450000000000000000e+02 9.899999999999999911e-01 2.484000000000000000e+07 1.968000000000000000e+07 1.381000000000000000e+07 1.642000000000000000e+07 1.351000000000000000e+07 1.349000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.311000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.071000000000000000e+09 7.850000000000000000e+08 6.254000000000000000e+07 6.806000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 4.360000000000000000e+02 1.000000000000000000e+00 2.612000000000000000e+07 2.408000000000000000e+07 1.368000000000000000e+07 1.384000000000000000e+07 1.350000000000000000e+07 1.350000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.552000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.070000000000000000e+09 4.313000000000000000e+08 6.259000000000000000e+07 7.025000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 3.720000000000000000e+02 1.050000000000000044e+00 1.065000000000000000e+09 1.066000000000000000e+09 1.069000000000000000e+09 9.847000000000000000e+07 6.272000000000000000e+07 6.635000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.940000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.069000000000000000e+09 4.002000000000000000e+08 6.257000000000000000e+07 6.861000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.770000000000000000e+02 1.030000000000000027e+00 1.063000000000000000e+09 9.281000000000000000e+08 1.074000000000000000e+09 1.051000000000000000e+08 6.257000000000000000e+07 6.941000000000000000e+07
1.000000000000000000e+05 2.000000000000000000e+02 2.850000000000000000e+02 1.000000000000000000e+00 2.394000000000000000e+07 2.491000000000000000e+07 1.394000000000000000e+07 1.386000000000000000e+07 1.349000000000000000e+07 1.350000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.823000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.070000000000000000e+09 1.878000000000000000e+08 6.260000000000000000e+07 6.908000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 4.760000000000000000e+02 1.020000000000000018e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.074000000000000000e+09 8.848000000000000000e+07 6.247000000000000000e+07 6.378000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.452000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.045000000000000000e+09 1.072000000000000000e+09 8.188000000000000000e+08 6.254000000000000000e+07 6.823000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.000000000000000000e+01 1.179999999999999938e+00 1.063000000000000000e+09 1.637000000000000000e+08 1.072000000000000000e+09 1.654000000000000000e+08 6.256000000000000000e+07 6.265000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.251000000000000000e+03 9.699999999999999734e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.073000000000000000e+09 9.096000000000000000e+07 6.257000000000000000e+07 6.971000000000000000e+07
1.024000000000000000e+03 1.638400000000000000e+04 1.024000000000000000e+03 1.010000000000000009e+00 1.783000000000000000e+08 1.783000000000000000e+08 1.801000000000000000e+08 1.178000000000000000e+07 1.057000000000000000e+07 1.134000000000000000e+07
2.800000000000000000e+03 1.000000000000000000e+04 2.000000000000000000e+02 1.209999999999999964e+00 2.976000000000000000e+08 3.632000000000000000e+07 3.000000000000000000e+08 3.531000000000000000e+07 1.755000000000000000e+07 1.872000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.220000000000000000e+02 1.149999999999999911e+00 1.063000000000000000e+09 9.294000000000000000e+07 1.072000000000000000e+09 8.356000000000000000e+07 6.253000000000000000e+07 6.701000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.221000000000000000e+03 1.010000000000000009e+00 1.063000000000000000e+09 1.046000000000000000e+09 1.071000000000000000e+09 1.003000000000000000e+08 6.255000000000000000e+07 6.651000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 4.930000000000000000e+02 1.709999999999999964e+00 2.126000000000000000e+08 2.127000000000000000e+08 2.569000000000000000e+08 1.837000000000000000e+07 1.314000000000000000e+08 1.665000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 6.400000000000000000e+01 1.110000000000000098e+00 2.132000000000000000e+08 2.342000000000000000e+07 2.157000000000000000e+08 1.765000000000000000e+07 1.677000000000000000e+07 1.558000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 3.520000000000000000e+02 1.060000000000000053e+00 1.065000000000000000e+09 1.050000000000000000e+09 1.068000000000000000e+09 1.008000000000000000e+08 6.277000000000000000e+07 6.606000000000000000e+07
2.000000000000000000e+02 1.000000000000000000e+05 2.730000000000000000e+02 1.139999999999999902e+00 2.126000000000000000e+08 1.703000000000000000e+08 2.164000000000000000e+08 2.112000000000000000e+07 2.422000000000000000e+07 1.323000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.897000000000000000e+03 9.300000000000000488e-01 1.066000000000000000e+09 1.068000000000000000e+09 1.074000000000000000e+09 1.025000000000000000e+09 6.246000000000000000e+07 6.678000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.280000000000000000e+02 1.179999999999999938e+00 1.063000000000000000e+09 2.498000000000000000e+08 1.072000000000000000e+09 1.167000000000000000e+08 6.254000000000000000e+07 6.670000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.533000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.064000000000000000e+09 1.074000000000000000e+09 3.127000000000000000e+08 6.254000000000000000e+07 7.071000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+03 1.280000000000000000e+02 1.139999999999999902e+00 1.062000000000000000e+08 9.214000000000000000e+06 6.492000000000000000e+06 9.130000000000000000e+06 6.346000000000000000e+06 6.346000000000000000e+06
1.000000000000000000e+04 1.000000000000000000e+04 2.357000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.072000000000000000e+09 9.186000000000000000e+08 6.257000000000000000e+07 6.832000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 2.951000000000000000e+03 1.000000000000000000e+00 1.063000000000000000e+09 1.063000000000000000e+09 1.071000000000000000e+09 9.603000000000000000e+08 6.258000000000000000e+07 6.706000000000000000e+07
1.000000000000000000e+04 1.000000000000000000e+04 1.485000000000000000e+03 9.899999999999999911e-01 1.063000000000000000e+09 1.064000000000000000e+09 1.072000000000000000e+09 4.340000000000000000e+08 6.259000000000000000e+07 7.064000000000000000e+07
