16,6250000,0.038,5.199
16,6250000,0.039,5.156
16,6250000,0.039,5.190
16,6250000,0.038,5.196
32,3125000,0.029,7.015
32,3125000,0.028,7.111
32,3125000,0.028,7.111
48,2083333,0.025,8.011
64,1562500,0.023,8.595
64,1562500,0.023,8.570
80,1250000,0.022,8.949
96,1041666,0.022,9.278
112,892857,0.021,9.526
144,694444,0.020,9.814
160,625000,0.020,9.904
192,520833,0.023,8.607
224,446428,0.023,8.713
272,367647,0.025,8.116
320,312500,0.024,8.330
384,260416,0.024,8.437
448,223214,0.024,8.442
528,189393,0.022,9.280
624,160256,0.022,9.010
736,135869,0.022,9.100
864,115740,0.022,8.936
1008,99206,0.040,4.985
1200,83333,0.022,9.053
1408,71022,0.025,8.019
1648,60679,0.046,4.363
1936,51652,0.046,4.314
2288,43706,0.045,4.439
2688,37202,0.044,4.516
3152,31725,0.043,4.611
3712,26939,0.044,4.554
4352,22977,0.045,4.477
5120,19531,0.047,4.239
6016,16622,0.044,4.571
7072,14140,0.044,4.517
8304,12042,0.048,4.168
9760,10245,0.058,3.434
11472,8716,0.058,3.439
13488,7413,0.069,2.906
15840,6313,0.072,2.773
18608,5374,0.084,2.386
21872,4572,0.084,2.388
25696,3891,0.084,2.382
30192,3312,0.085,2.364
35472,2819,0.084,2.370
41680,2399,0.084,2.390
48976,2041,0.084,2.382
57536,1738,0.084,2.389
67600,1479,0.084,2.368
79424,1259,0.085,2.358
93312,1071,0.084,2.392
109632,912,0.084,2.391
128816,776,0.084,2.392
151344,660,0.084,2.388
177824,562,0.085,2.365
208928,478,0.084,2.369
245456,407,0.084,2.390
288400,346,0.084,2.388
338832,295,0.084,2.385
398096,251,0.084,2.372
467728,213,0.084,2.369
549536,181,0.084,2.369
645648,154,0.083,2.384
758576,131,0.084,2.373
891248,112,0.086,2.312
1047120,95,0.094,2.121
1230256,81,0.103,1.927
1445424,69,0.118,1.697
1698240,58,0.143,1.378
1995248,50,0.175,1.140
2344224,42,0.204,0.967
2754224,36,0.205,0.969
3235936,30,0.204,0.953
3801888,26,0.210,0.943
4466832,22,0.208,0.946
5248064,19,0.211,0.947
6165936,16,0.217,0.907
7244352,13,0.230,0.820
8511376,11,0.198,0.944
10000000,10,0.211,0.946
16,6250000,0.038,5.232
16,6250000,0.038,5.234
16,6250000,0.037,5.359
16,6250000,0.037,5.395
32,3125000,0.027,7.316
32,3125000,0.028,7.271
32,3125000,0.028,7.225
48,2083333,0.024,8.328
64,1562500,0.023,8.857
64,1562500,0.023,8.846
80,1250000,0.021,9.314
96,1041666,0.021,9.480
112,892857,0.020,9.980
144,694444,0.019,10.315
160,625000,0.019,10.509
192,520833,0.022,9.145
224,446428,0.022,9.244
272,367647,0.024,8.350
320,312500,0.024,8.317
384,260416,0.024,8.460
448,223214,0.023,8.654
528,189393,0.021,9.515
624,160256,0.022,9.265
736,135869,0.021,9.387
864,115740,0.022,9.228
1008,99206,0.039,5.152
1200,83333,0.021,9.459
1408,71022,0.025,8.008
1648,60679,0.044,4.564
1936,51652,0.046,4.382
2288,43706,0.043,4.629
2688,37202,0.043,4.656
3152,31725,0.043,4.632
3712,26939,0.042,4.735
4352,22977,0.043,4.634
5120,19531,0.044,4.503
6016,16622,0.042,4.743
7072,14140,0.043,4.660
8304,12042,0.044,4.594
9760,10245,0.048,4.203
11472,8716,0.053,3.769
13488,7413,0.070,2.870
15840,6313,0.079,2.540
18608,5374,0.084,2.390
21872,4572,0.084,2.392
25696,3891,0.084,2.367
30192,3312,0.084,2.367
35472,2819,0.084,2.382
41680,2399,0.083,2.395
48976,2041,0.084,2.379
57536,1738,0.083,2.396
67600,1479,0.084,2.390
79424,1259,0.084,2.390
93312,1071,0.083,2.394
109632,912,0.084,2.391
128816,776,0.084,2.385
151344,660,0.084,2.391
177824,562,0.083,2.396
208928,478,0.083,2.395
245456,407,0.083,2.400
288400,346,0.083,2.399
338832,295,0.084,2.389
398096,251,0.084,2.388
467728,213,0.085,2.355
549536,181,0.084,2.357
645648,154,0.083,2.387
758576,131,0.083,2.389
891248,112,0.098,2.028
1047120,95,0.115,1.736
1230256,81,0.182,1.092
1445424,69,0.219,0.909
1698240,58,0.177,1.112
1995248,50,0.217,0.921
2344224,42,0.223,0.884
2754224,36,0.214,0.928
3235936,30,0.220,0.882
3801888,26,0.231,0.855
4466832,22,0.216,0.908
5248064,19,0.221,0.901
6165936,16,0.217,0.910
7244352,13,0.209,0.902
8511376,11,0.212,0.882
10000000,10,0.219,0.912
16,6250000,0.038,5.208
16,6250000,0.039,5.189
16,6250000,0.038,5.222
16,6250000,0.037,5.404
32,3125000,0.027,7.437
32,3125000,0.027,7.421
32,3125000,0.027,7.444
48,2083333,0.024,8.378
64,1562500,0.022,9.059
64,1562500,0.022,9.008
80,1250000,0.021,9.484
96,1041666,0.021,9.654
112,892857,0.020,9.953
144,694444,0.020,10.254
160,625000,0.019,10.313
192,520833,0.022,9.050
224,446428,0.022,9.209
272,367647,0.024,8.468
320,312500,0.023,8.671
384,260416,0.022,8.894
448,223214,0.022,8.924
528,189393,0.021,9.745
624,160256,0.022,9.197
736,135869,0.021,9.590
864,115740,0.021,9.357
1008,99206,0.038,5.262
1200,83333,0.021,9.602
1408,71022,0.024,8.178
1648,60679,0.043,4.634
1936,51652,0.045,4.433
2288,43706,0.043,4.703
2688,37202,0.042,4.739
3152,31725,0.042,4.777
3712,26939,0.042,4.751
4352,22977,0.043,4.611
5120,19531,0.044,4.543
6016,16622,0.043,4.647
7072,14140,0.047,4.229
8304,12042,0.049,4.048
9760,10245,0.055,3.660
11472,8716,0.057,3.527
13488,7413,0.071,2.831
15840,6313,0.075,2.666
18608,5374,0.083,2.404
21872,4572,0.084,2.380
25696,3891,0.084,2.388
30192,3312,0.084,2.388
35472,2819,0.084,2.388
41680,2399,0.084,2.388
48976,2041,0.084,2.372
57536,1738,0.084,2.383
67600,1479,0.084,2.391
79424,1259,0.084,2.385
93312,1071,0.083,2.396
109632,912,0.085,2.357
128816,776,0.084,2.375
151344,660,0.084,2.375
177824,562,0.085,2.365
208928,478,0.084,2.381
245456,407,0.084,2.380
288400,346,0.084,2.373
338832,295,0.084,2.375
398096,251,0.084,2.386
467728,213,0.085,2.358
549536,181,0.085,2.339
645648,154,0.086,2.324
758576,131,0.086,2.300
891248,112,0.096,2.072
1047120,95,0.150,1.328
1230256,81,0.205,0.974
1445424,69,0.227,0.879
1698240,58,0.156,1.265
1995248,50,0.228,0.875
2344224,42,0.231,0.852
2754224,36,0.224,0.887
3235936,30,0.223,0.871
3801888,26,0.232,0.852
4466832,22,0.227,0.867
5248064,19,0.227,0.877
6165936,16,0.222,0.890
7244352,13,0.221,0.853
8511376,11,0.222,0.843
10000000,10,0.232,0.861
16,6250000,0.038,5.223
16,6250000,0.038,5.235
16,6250000,0.038,5.227
16,6250000,0.038,5.232
32,3125000,0.028,7.097
32,3125000,0.028,7.103
32,3125000,0.028,7.075
48,2083333,0.025,8.075
64,1562500,0.023,8.611
64,1562500,0.023,8.607
80,1250000,0.022,9.027
96,1041666,0.022,8.998
112,892857,0.021,9.505
144,694444,0.020,9.810
160,625000,0.020,9.921
192,520833,0.023,8.602
224,446428,0.023,8.753
272,367647,0.025,8.120
320,312500,0.024,8.321
384,260416,0.024,8.436
448,223214,0.024,8.437
528,189393,0.022,9.278
624,160256,0.022,9.000
736,135869,0.022,9.090
864,115740,0.022,8.935
1008,99206,0.040,4.993
1200,83333,0.022,9.188
1408,71022,0.026,7.765
1648,60679,0.045,4.450
1936,51652,0.046,4.358
2288,43706,0.044,4.510
2688,37202,0.043,4.611
3152,31725,0.043,4.648
3712,26939,0.043,4.598
4352,22977,0.045,4.490
5120,19531,0.046,4.361
6016,16622,0.050,3.994
7072,14140,0.046,4.317
8304,12042,0.048,4.175
9760,10245,0.052,3.829
11472,8716,0.057,3.539
13488,7413,0.061,3.274
15840,6313,0.070,2.856
18608,5374,0.080,2.492
21872,4572,0.087,2.305
25696,3891,0.087,2.302
30192,3312,0.087,2.304
35472,2819,0.087,2.301
41680,2399,0.087,2.303
48976,2041,0.087,2.296
57536,1738,0.087,2.299
67600,1479,0.087,2.303
79424,1259,0.087,2.305
93312,1071,0.087,2.304
109632,912,0.087,2.305
128816,776,0.087,2.303
151344,660,0.087,2.299
177824,562,0.087,2.295
208928,478,0.087,2.304
245456,407,0.087,2.299
288400,346,0.087,2.300
338832,295,0.087,2.303
398096,251,0.087,2.301
467728,213,0.087,2.297
549536,181,0.087,2.290
645648,154,0.088,2.258
758576,131,0.091,2.174
891248,112,0.102,1.963
1047120,95,0.132,1.508
1230256,81,0.187,1.066
1445424,69,0.222,0.897
1698240,58,0.235,0.839
1995248,50,0.242,0.825
2344224,42,0.244,0.806
2754224,36,0.244,0.814
3235936,30,0.240,0.810
3801888,26,0.245,0.805
4466832,22,0.242,0.813
5248064,19,0.245,0.813
6165936,16,0.237,0.834
7244352,13,0.232,0.813
8511376,11,0.235,0.797
10000000,10,0.246,0.812
16,6250000,0.039,5.191
16,6250000,0.038,5.222
16,6250000,0.038,5.223
16,6250000,0.038,5.196
32,3125000,0.028,7.080
32,3125000,0.028,7.065
32,3125000,0.028,7.062
48,2083333,0.025,8.005
64,1562500,0.023,8.583
64,1562500,0.023,8.566
80,1250000,0.022,8.979
96,1041666,0.022,9.252
112,892857,0.021,9.504
144,694444,0.020,9.803
160,625000,0.020,9.883
192,520833,0.023,8.576
224,446428,0.023,8.756
272,367647,0.025,8.119
320,312500,0.024,8.320
384,260416,0.024,8.427
448,223214,0.024,8.435
528,189393,0.022,9.230
624,160256,0.022,8.968
736,135869,0.022,9.062
864,115740,0.022,8.919
1008,99206,0.040,4.995
1200,83333,0.022,9.083
1408,71022,0.025,7.999
1648,60679,0.045,4.476
1936,51652,0.046,4.339
2288,43706,0.044,4.519
2688,37202,0.044,4.557
3152,31725,0.043,4.636
3712,26939,0.043,4.611
4352,22977,0.044,4.504
5120,19531,0.046,4.369
6016,16622,0.043,4.598
7072,14140,0.045,4.421
8304,12042,0.050,4.020
9760,10245,0.055,3.609
11472,8716,0.056,3.599
13488,7413,0.064,3.145
15840,6313,0.072,2.766
18608,5374,0.083,2.402
21872,4572,0.086,2.335
25696,3891,0.085,2.340
30192,3312,0.085,2.341
35472,2819,0.086,2.337
41680,2399,0.085,2.341
48976,2041,0.086,2.331
57536,1738,0.085,2.340
67600,1479,0.085,2.340
79424,1259,0.085,2.339
93312,1071,0.085,2.340
109632,912,0.085,2.341
128816,776,0.086,2.338
151344,660,0.086,2.335
177824,562,0.085,2.338
208928,478,0.086,2.333
245456,407,0.086,2.330
288400,346,0.086,2.331
338832,295,0.086,2.313
398096,251,0.086,2.324
467728,213,0.086,2.320
549536,181,0.087,2.292
645648,154,0.091,2.191
758576,131,0.113,1.766
891248,112,0.206,0.969
1047120,95,0.173,1.153
1230256,81,0.194,1.026
1445424,69,0.232,0.859
1698240,58,0.223,0.882
1995248,50,0.224,0.891
2344224,42,0.229,0.859
2754224,36,0.229,0.867
3235936,30,0.226,0.860
3801888,26,0.230,0.861
4466832,22,0.227,0.866
5248064,19,0.230,0.868
6165936,16,0.228,0.864
7244352,13,0.215,0.874
8511376,11,0.223,0.838
10000000,10,0.227,0.880
16,6250000,0.038,5.237
16,6250000,0.037,5.339
16,6250000,0.038,5.244
16,6250000,0.038,5.297
32,3125000,0.028,7.183
32,3125000,0.027,7.442
32,3125000,0.027,7.424
48,2083333,0.024,8.385
64,1562500,0.022,9.021
