16,6250000,0.058,3.429
16,6250000,0.058,3.433
16,6250000,0.058,3.434
16,6250000,0.058,3.422
32,3125000,0.037,5.387
32,3125000,0.037,5.411
32,3125000,0.037,5.411
48,2083333,0.028,7.216
64,1562500,0.025,8.114
64,1562500,0.025,8.118
80,1250000,0.022,9.295
96,1041666,0.021,9.732
112,892857,0.019,10.588
144,694444,0.028,7.100
160,625000,0.027,7.421
192,520833,0.024,8.301
224,446428,0.025,8.107
272,367647,0.018,11.113
320,312500,0.018,11.113
384,260416,0.021,9.324
448,223214,0.022,9.223
528,189393,0.020,9.787
624,160256,0.020,10.039
736,135869,0.022,9.245
864,115740,0.020,10.237
1008,99206,0.038,5.263
1200,83333,0.020,9.866
1408,71022,0.043,4.691
1648,60679,0.051,3.921
1936,51652,0.047,4.242
2288,43706,0.045,4.489
2688,37202,0.044,4.502
3152,31725,0.043,4.598
3712,26939,0.044,4.569
4352,22977,0.045,4.475
5120,19531,0.046,4.389
6016,16622,0.044,4.546
7072,14140,0.047,4.260
8304,12042,0.051,3.956
9760,10245,0.053,3.740
11472,8716,0.063,3.178
13488,7413,0.071,2.820
15840,6313,0.080,2.486
18608,5374,0.082,2.430
21872,4572,0.082,2.443
25696,3891,0.084,2.371
30192,3312,0.085,2.361
35472,2819,0.084,2.388
41680,2399,0.084,2.393
48976,2041,0.084,2.393
57536,1738,0.084,2.386
67600,1479,0.084,2.393
79424,1259,0.084,2.393
93312,1071,0.084,2.393
109632,912,0.084,2.385
128816,776,0.084,2.386
151344,660,0.084,2.388
177824,562,0.085,2.347
208928,478,0.084,2.375
245456,407,0.084,2.373
288400,346,0.084,2.373
338832,295,0.085,2.366
398096,251,0.084,2.384
467728,213,0.083,2.390
549536,181,0.083,2.390
645648,154,0.083,2.389
758576,131,0.083,2.384
891248,112,0.086,2.328
1047120,95,0.090,2.217
1230256,81,0.103,1.937
1445424,69,0.116,1.716
1698240,58,0.142,1.384
1995248,50,0.175,1.138
2344224,42,0.196,1.007
2754224,36,0.221,0.897
3235936,30,0.205,0.946
3801888,26,0.209,0.947
4466832,22,0.206,0.952
5248064,19,0.210,0.952
6165936,16,0.209,0.943
7244352,13,0.198,0.952
8511376,11,0.206,0.911
10000000,10,0.211,0.948
16,6250000,0.053,3.795
16,6250000,0.053,3.796
16,6250000,0.053,3.797
16,6250000,0.053,3.797
32,3125000,0.033,5.985
32,3125000,0.034,5.969
32,3125000,0.033,5.985
48,2083333,0.025,8.004
64,1562500,0.022,8.971
64,1562500,0.022,8.972
80,1250000,0.019,10.277
96,1041666,0.019,10.772
112,892857,0.017,11.699
144,694444,0.025,7.862
160,625000,0.024,8.274
192,520833,0.022,9.184
224,446428,0.022,8.965
272,367647,0.016,12.313
320,312500,0.016,12.290
384,260416,0.019,10.365
448,223214,0.020,10.176
528,189393,0.019,10.789
624,160256,0.018,11.070
736,135869,0.020,10.231
864,115740,0.018,11.354
1008,99206,0.034,5.817
1200,83333,0.018,10.893
1408,71022,0.023,8.888
1648,60679,0.041,4.858
1936,51652,0.042,4.799
2288,43706,0.040,4.954
2688,37202,0.040,4.988
3152,31725,0.039,5.092
3712,26939,0.040,5.030
4352,22977,0.040,4.942
5120,19531,0.041,4.901
6016,16622,0.041,4.916
7072,14140,0.045,4.422
8304,12042,0.045,4.411
9760,10245,0.052,3.825
11472,8716,0.057,3.483
13488,7413,0.063,3.176
15840,6313,0.071,2.824
18608,5374,0.078,2.574
21872,4572,0.079,2.521
25696,3891,0.079,2.521
30192,3312,0.079,2.525
35472,2819,0.079,2.523
41680,2399,0.079,2.524
48976,2041,0.079,2.524
57536,1738,0.079,2.526
67600,1479,0.079,2.525
79424,1259,0.079,2.524
93312,1071,0.079,2.528
109632,912,0.079,2.526
128816,776,0.079,2.528
151344,660,0.079,2.528
177824,562,0.079,2.524
208928,478,0.079,2.526
245456,407,0.079,2.531
288400,346,0.079,2.530
338832,295,0.079,2.517
398096,251,0.079,2.529
467728,213,0.079,2.529
549536,181,0.079,2.521
645648,154,0.080,2.487
758576,131,0.084,2.367
891248,112,0.101,1.968
1047120,95,0.172,1.160
1230256,81,0.183,1.086
1445424,69,0.194,1.027
1698240,58,0.204,0.967
1995248,50,0.210,0.951
2344224,42,0.208,0.945
2754224,36,0.209,0.951
3235936,30,0.202,0.960
3801888,26,0.211,0.939
4466832,22,0.204,0.966
5248064,19,0.207,0.963
6165936,16,0.205,0.962
7244352,13,0.197,0.954
8511376,11,0.196,0.955
10000000,10,0.208,0.963
16,6250000,0.053,3.795
16,6250000,0.053,3.796
16,6250000,0.053,3.794
16,6250000,0.053,3.797
32,3125000,0.033,5.984
32,3125000,0.033,5.978
32,3125000,0.033,5.977
48,2083333,0.025,8.004
64,1562500,0.022,8.973
64,1562500,0.022,8.989
80,1250000,0.019,10.276
96,1041666,0.019,10.763
112,892857,0.017,11.690
144,694444,0.025,7.861
160,625000,0.024,8.300
192,520833,0.022,9.164
224,446428,0.022,8.961
272,367647,0.016,12.282
320,312500,0.016,12.288
384,260416,0.019,10.341
448,223214,0.020,10.146
528,189393,0.019,10.780
624,160256,0.018,11.052
736,135869,0.020,10.238
864,115740,0.018,11.341
1008,99206,0.034,5.815
1200,83333,0.018,10.952
1408,71022,0.022,8.917
1648,60679,0.042,4.810
1936,51652,0.042,4.806
2288,43706,0.040,4.999
2688,37202,0.040,4.969
3152,31725,0.039,5.084
3712,26939,0.040,5.025
4352,22977,0.040,4.967
5120,19531,0.042,4.756
6016,16622,0.043,4.677
7072,14140,0.050,4.018
8304,12042,0.058,3.452
9760,10245,0.060,3.322
11472,8716,0.061,3.272
13488,7413,0.060,3.317
15840,6313,0.068,2.934
18608,5374,0.079,2.540
21872,4572,0.080,2.508
25696,3891,0.080,2.515
30192,3312,0.079,2.517
35472,2819,0.080,2.515
41680,2399,0.080,2.514
48976,2041,0.079,2.516
57536,1738,0.079,2.517
67600,1479,0.079,2.519
79424,1259,0.079,2.518
93312,1071,0.079,2.519
109632,912,0.079,2.519
128816,776,0.079,2.520
151344,660,0.079,2.520
177824,562,0.079,2.518
208928,478,0.079,2.519
245456,407,0.079,2.520
288400,346,0.079,2.522
338832,295,0.080,2.510
398096,251,0.079,2.522
467728,213,0.079,2.519
549536,181,0.079,2.503
645648,154,0.085,2.351
758576,131,0.100,1.985
891248,112,0.116,1.715
1047120,95,0.161,1.237
1230256,81,0.215,0.925
1445424,69,0.191,1.045
1698240,58,0.201,0.982
1995248,50,0.208,0.961
2344224,42,0.207,0.950
2754224,36,0.209,0.951
3235936,30,0.202,0.961
3801888,26,0.210,0.940
4466832,22,0.203,0.969
5248064,19,0.206,0.970
6165936,16,0.205,0.962
7244352,13,0.196,0.962
8511376,11,0.195,0.960
10000000,10,0.209,0.957
16,6250000,0.050,4.010
16,6250000,0.049,4.048
16,6250000,0.050,4.019
16,6250000,0.049,4.045
32,3125000,0.031,6.370
32,3125000,0.031,6.371
32,3125000,0.031,6.382
48,2083333,0.024,8.414
64,1562500,0.021,9.546
64,1562500,0.021,9.552
80,1250000,0.018,10.886
96,1041666,0.017,11.469
112,892857,0.016,12.457
144,694444,0.024,8.386
160,625000,0.023,8.818
192,520833,0.020,9.793
224,446428,0.021,9.562
272,367647,0.015,13.069
320,312500,0.015,13.122
384,260416,0.019,10.772
448,223214,0.018,10.827
528,189393,0.017,11.434
624,160256,0.017,11.814
736,135869,0.018,10.915
864,115740,0.017,12.103
1008,99206,0.032,6.201
1200,83333,0.017,11.641
1408,71022,0.021,9.658
1648,60679,0.038,5.231
1936,51652,0.039,5.145
2288,43706,0.037,5.344
2688,37202,0.037,5.384
3152,31725,0.037,5.384
3712,26939,0.037,5.427
4352,22977,0.038,5.307
5120,19531,0.038,5.229
6016,16622,0.037,5.428
7072,14140,0.037,5.397
8304,12042,0.037,5.347
9760,10245,0.041,4.912
11472,8716,0.049,4.079
13488,7413,0.058,3.475
15840,6313,0.071,2.806
18608,5374,0.076,2.644
21872,4572,0.076,2.618
25696,3891,0.076,2.647
30192,3312,0.076,2.645
35472,2819,0.075,2.651
41680,2399,0.075,2.650
48976,2041,0.075,2.651
57536,1738,0.075,2.651
67600,1479,0.076,2.634
79424,1259,0.075,2.653
93312,1071,0.075,2.651
109632,912,0.075,2.650
128816,776,0.076,2.639
151344,660,0.075,2.647
177824,562,0.076,2.644
208928,478,0.075,2.652
245456,407,0.075,2.650
288400,346,0.075,2.653
338832,295,0.075,2.653
398096,251,0.076,2.645
467728,213,0.075,2.654
549536,181,0.075,2.640
645648,154,0.075,2.651
758576,131,0.075,2.643
891248,112,0.076,2.635
1047120,95,0.076,2.631
1230256,81,0.080,2.504
1445424,69,0.104,1.909
1698240,58,0.147,1.342
1995248,50,0.183,1.089
2344224,42,0.194,1.012
2754224,36,0.201,0.989
3235936,30,0.203,0.958
3801888,26,0.204,0.970
4466832,22,0.197,0.996
5248064,19,0.201,0.991
6165936,16,0.197,1.001
7244352,13,0.189,0.995
8511376,11,0.199,0.942
10000000,10,0.202,0.992
16,6250000,0.058,3.429
16,6250000,0.059,3.395
16,6250000,0.058,3.434
16,6250000,0.059,3.371
32,3125000,0.037,5.410
32,3125000,0.037,5.410
32,3125000,0.037,5.411
48,2083333,0.028,7.235
64,1562500,0.025,8.115
64,1562500,0.025,8.116
80,1250000,0.022,9.298
96,1041666,0.021,9.700
112,892857,0.019,10.595
144,694444,0.028,7.087
160,625000,0.027,7.503
192,520833,0.024,8.313
224,446428,0.025,8.123
272,367647,0.018,11.048
320,312500,0.018,11.058
384,260416,0.021,9.308
448,223214,0.022,9.202
528,189393,0.020,9.773
624,160256,0.020,10.036
736,135869,0.022,9.263
864,115740,0.019,10.265
1008,99206,0.038,5.267
1200,83333,0.020,9.877
1408,71022,0.025,8.143
1648,60679,0.045,4.413
