16,6250000,0.030,26.286
16,6250000,0.030,26.405
16,6250000,0.030,26.376
16,6250000,0.030,26.385
32,3125000,0.026,30.723
32,3125000,0.026,30.783
32,3125000,0.026,30.808
48,2083333,0.020,40.946
64,1562500,0.019,41.097
64,1562500,0.019,41.095
80,1250000,0.018,45.078
96,1041666,0.018,44.378
112,892857,0.018,45.336
144,694444,0.018,45.578
160,625000,0.018,44.197
192,520833,0.018,45.292
224,446428,0.018,45.433
272,367647,0.018,44.777
320,312500,0.018,45.662
384,260416,0.017,45.761
448,223214,0.018,45.012
528,189393,0.018,44.534
624,160256,0.018,44.560
736,135869,0.018,44.074
864,115740,0.018,44.106
1008,99206,0.018,45.203
1200,83333,0.018,45.380
1408,71022,0.018,45.057
1648,60679,0.018,45.566
1936,51652,0.021,38.463
2288,43706,0.035,23.033
2688,37202,0.038,21.236
3152,31725,0.035,22.663
3712,26939,0.037,21.906
4352,22977,0.035,22.825
5120,19531,0.035,22.607
6016,16622,0.035,22.680
7072,14140,0.036,22.342
8304,12042,0.035,22.648
9760,10245,0.035,22.666
11472,8716,0.036,21.991
13488,7413,0.037,21.599
15840,6313,0.038,21.155
18608,5374,0.039,20.646
21872,4572,0.041,19.566
25696,3891,0.043,18.504
30192,3312,0.046,17.305
35472,2819,0.050,16.031
41680,2399,0.053,14.989
48976,2041,0.056,14.207
57536,1738,0.059,13.606
67600,1479,0.061,13.147
79424,1259,0.063,12.785
93312,1071,0.065,12.225
109632,912,0.067,12.007
128816,776,0.066,12.082
151344,660,0.066,12.180
177824,562,0.065,12.258
208928,478,0.065,12.211
245456,407,0.064,12.458
288400,346,0.064,12.512
338832,295,0.063,12.625
398096,251,0.063,12.654
467728,213,0.063,12.722
549536,181,0.063,12.727
645648,154,0.062,12.783
758576,131,0.061,12.959
891248,112,0.062,12.967
1047120,95,0.061,12.952
1230256,81,0.062,12.942
1445424,69,0.063,12.693
1698240,58,0.063,12.582
1995248,50,0.064,12.549
2344224,42,0.061,12.812
2754224,36,0.062,12.842
3235936,30,0.063,12.312
3801888,26,0.071,11.098
4466832,22,0.075,10.421
5248064,19,0.088,9.115
6165936,16,0.088,8.991
7244352,13,0.088,8.578
8511376,11,0.087,8.565
10000000,10,0.093,8.595
16,6250000,0.030,26396.495
16,6250000,0.030,26430.594
16,6250000,0.030,26358.341
16,6250000,0.031,25638.730
32,3125000,0.026,30785.860
32,3125000,0.026,30823.756
32,3125000,0.026,30839.053
48,2083333,0.020,40764.432
64,1562500,0.019,41063.762
64,1562500,0.019,41125.163
80,1250000,0.018,45108.531
96,1041666,0.018,44390.013
112,892857,0.018,45382.456
144,694444,0.018,45534.551
160,625000,0.018,45106.106
192,520833,0.018,45310.122
224,446428,0.018,45230.692
272,367647,0.018,44916.506
320,312500,0.018,45669.686
384,260416,0.017,45771.739
448,223214,0.017,45850.604
528,189393,0.018,43425.824
624,160256,0.018,44525.997
736,135869,0.018,44098.743
864,115740,0.018,44130.543
1008,99206,0.018,44883.310
1200,83333,0.018,45341.195
1408,71022,0.018,45080.192
1648,60679,0.018,45583.608
1936,51652,0.020,40699.456
2288,43706,0.035,22940.224
2688,37202,0.037,21353.669
3152,31725,0.036,22492.253
3712,26939,0.037,21688.492
4352,22977,0.035,22792.339
5120,19531,0.035,22767.771
6016,16622,0.036,22497.248
7072,14140,0.036,22380.382
8304,12042,0.035,22584.201
9760,10245,0.035,22704.743
11472,8716,0.035,22656.164
13488,7413,0.036,22192.034
15840,6313,0.037,21840.755
18608,5374,0.040,20070.599
21872,4572,0.041,19511.443
25696,3891,0.044,18348.505
30192,3312,0.047,17199.552
35472,2819,0.050,15972.117
41680,2399,0.053,14971.991
48976,2041,0.056,14186.027
57536,1738,0.059,13585.230
67600,1479,0.061,13139.121
79424,1259,0.063,12764.618
93312,1071,0.065,12207.927
109632,912,0.067,11993.419
128816,776,0.066,12041.133
151344,660,0.066,12162.442
177824,562,0.065,12272.030
208928,478,0.065,12205.027
245456,407,0.064,12467.299
288400,346,0.064,12435.981
338832,295,0.064,12555.819
398096,251,0.063,12637.402
467728,213,0.063,12651.128
549536,181,0.063,12723.496
645648,154,0.062,12759.479
758576,131,0.061,12934.837
891248,112,0.062,12935.876
1047120,95,0.062,12930.580
1230256,81,0.062,12907.938
1445424,69,0.062,12913.721
1698240,58,0.061,12910.975
1995248,50,0.062,12891.497
2344224,42,0.062,12676.389
2754224,36,0.062,12867.087
3235936,30,0.061,12729.041
3801888,26,0.062,12684.959
4466832,22,0.103,7646.456
5248064,19,0.080,9975.434
6165936,16,0.086,9129.854
7244352,13,0.085,8907.171
8511376,11,0.088,8507.406
10000000,10,0.097,8248.690
