16,6250000,0.030,26.371
16,6250000,0.030,26.417
16,6250000,0.030,26.405
16,6250000,0.030,26.412
32,3125000,0.026,30.824
32,3125000,0.026,30.810
32,3125000,0.026,30.810
48,2083333,0.020,40.858
64,1562500,0.020,40.925
64,1562500,0.019,41.104
80,1250000,0.018,45.083
96,1041666,0.019,43.080
112,892857,0.018,45.362
144,694444,0.018,45.504
160,625000,0.018,45.134
192,520833,0.018,45.295
224,446428,0.018,45.434
272,367647,0.018,44.838
320,312500,0.018,45.524
384,260416,0.017,45.766
448,223214,0.017,45.842
528,189393,0.018,43.325
624,160256,0.018,44.581
736,135869,0.018,44.096
864,115740,0.018,44.111
1008,99206,0.018,45.226
1200,83333,0.018,45.344
1408,71022,0.018,45.103
1648,60679,0.018,45.584
1936,51652,0.021,38.490
2288,43706,0.035,22.947
2688,37202,0.038,21.244
3152,31725,0.035,22.605
3712,26939,0.037,21.778
4352,22977,0.035,22.808
5120,19531,0.035,22.642
6016,16622,0.035,22.664
7072,14140,0.036,22.430
8304,12042,0.035,22.611
9760,10245,0.035,22.705
11472,8716,0.036,22.342
13488,7413,0.036,21.940
15840,6313,0.038,21.300
18608,5374,0.039,20.344
21872,4572,0.041,19.340
25696,3891,0.044,18.233
30192,3312,0.046,17.241
35472,2819,0.050,16.028
41680,2399,0.053,15.004
48976,2041,0.056,14.172
57536,1738,0.059,13.609
67600,1479,0.061,13.143
79424,1259,0.063,12.787
93312,1071,0.065,12.213
109632,912,0.066,12.034
128816,776,0.066,12.082
151344,660,0.066,12.182
177824,562,0.065,12.284
208928,478,0.065,12.216
245456,407,0.064,12.461
288400,346,0.063,12.590
338832,295,0.063,12.623
398096,251,0.063,12.654
467728,213,0.063,12.732
549536,181,0.062,12.755
645648,154,0.062,12.775
758576,131,0.061,12.958
891248,112,0.062,12.963
1047120,95,0.061,12.962
1230256,81,0.062,12.956
1445424,69,0.062,12.941
1698240,58,0.061,12.917
1995248,50,0.062,12.898
2344224,42,0.061,12.857
2754224,36,0.062,12.826
3235936,30,0.064,12.229
3801888,26,0.068,11.600
4466832,22,0.079,9.911
5248064,19,0.086,9.276
6165936,16,0.089,8.844
7244352,13,0.087,8.676
8511376,11,0.087,8.622
10000000,10,0.093,8.586
16,6250000,0.030,26395.664
16,6250000,0.030,26392.135
16,6250000,0.030,26423.517
16,6250000,0.030,26434.134
32,3125000,0.026,30828.287
32,3125000,0.026,30841.604
32,3125000,0.026,30724.126
48,2083333,0.020,41010.556
64,1562500,0.019,41090.917
64,1562500,0.019,41120.124
80,1250000,0.018,45118.843
96,1041666,0.018,44399.998
112,892857,0.018,45400.878
144,694444,0.018,45579.085
160,625000,0.018,45126.124
192,520833,0.018,45312.569
224,446428,0.018,45444.484
272,367647,0.018,43461.468
320,312500,0.018,45706.390
384,260416,0.017,45782.355
448,223214,0.018,44622.572
528,189393,0.018,43823.404
624,160256,0.019,42383.723
736,135869,0.018,44096.425
864,115740,0.018,43437.567
1008,99206,0.018,45197.691
1200,83333,0.018,45374.304
1408,71022,0.018,45089.884
1648,60679,0.018,45599.095
1936,51652,0.020,40622.589
2288,43706,0.035,22994.303
2688,37202,0.038,21219.977
3152,31725,0.035,22621.298
3712,26939,0.037,21751.057
4352,22977,0.035,22840.436
5120,19531,0.035,22764.527
6016,16622,0.035,22646.966
7072,14140,0.036,22429.302
8304,12042,0.035,22693.721
9760,10245,0.035,22657.671
11472,8716,0.035,22624.082
13488,7413,0.036,22113.631
15840,6313,0.037,21576.854
18608,5374,0.038,20842.430
21872,4572,0.041,19641.303
25696,3891,0.044,18334.667
30192,3312,0.046,17268.953
35472,2819,0.050,15910.466
41680,2399,0.053,14965.513
48976,2041,0.057,13927.316
57536,1738,0.060,13349.944
67600,1479,0.061,13051.406
79424,1259,0.063,12762.579
93312,1071,0.065,12210.372
109632,912,0.066,12040.336
128816,776,0.066,12064.607
151344,660,0.066,12175.786
177824,562,0.065,12267.137
208928,478,0.065,12200.539
245456,407,0.064,12458.958
288400,346,0.064,12453.836
338832,295,0.063,12594.765
398096,251,0.063,12632.165
467728,213,0.063,12658.745
549536,181,0.063,12708.042
645648,154,0.063,12639.454
758576,131,0.062,12877.042
891248,112,0.062,12920.208
1047120,95,0.062,12908.927
1230256,81,0.062,12903.953
1445424,69,0.062,12899.137
1698240,58,0.061,12908.000
1995248,50,0.062,12894.825
2344224,42,0.061,12871.925
2754224,36,0.062,12838.933
3235936,30,0.061,12813.865
3801888,26,0.062,12755.302
4466832,22,0.068,11643.089
5248064,19,0.079,10055.783
6165936,16,0.087,9122.482
7244352,13,0.084,8923.948
8511376,11,0.089,8425.291
10000000,10,0.097,8238.422
